References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Anacardiaceae,Tapirira guianensis Aubl.,0.96,0.031,0.61,1.47,0.55,98,45,NA,NA,241
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Myristicaceae,Virola sebifera Aubl.,0.96,0.094,0.65,0.18,0.16,129,279,NA,NA,1416
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Myristicaceae,Virola sebifera Aubl.,1.4,0.023,0.78,0.33,0.45,128,485,NA,NA,350
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Annonaceae,Xylopia sericea A.St.-Hil.,1.11,0.104,1.27,0.64,0.62,140,128,NA,NA,1078
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Annonaceae,Xylopia sericea A.St.-Hil.,1.23,0.021,1.15,0.44,0.4,102,475,NA,NA,286
"Silva, P.E.N. (1991)",mata,Taquara,Anarcadiaceae,Astronium graveolens Jacq.,1.32,0.101,0.65,0.68,0.37,101,38,NA,NA,1723
"Silva, P.E.N. (1991)",mata,Taquara,Calophyllaceae,Calophyllum brasiliense Cambess.,1.58,0.05,0.48,1.53,0.3,79,19,NA,NA,1132
"Silva, P.E.N. (1991)",mata,Taquara,Calophyllaceae,Calophyllum brasiliense Cambess.,1.44,0.06,0.47,1.33,0.51,83,27,NA,NA,409
"Silva, P.E.N. (1991)",mata,Taquara,Meliaceae,Cedrela odorata L.,0.92,0.19,1.43,0.87,0.33,84,17,NA,NA,613
"Silva, P.E.N. (1991)",mata,Taquara,Meliaceae,Cedrela odorata L.,1.57,0.07,0.67,1.83,0.26,136,24,NA,NA,366
"Silva, P.E.N. (1991)",mata,Taquara,Proteaceae,Euplassa inaequalis (Pohl) Engl.,2.9,0.14,1.59,0.49,0.37,98,50,NA,NA,10017
"Silva, P.E.N. (1991)",mata,Taquara,Proteaceae,Euplassa inaequalis (Pohl) Engl.,NA,0.05,1.39,0.94,0.35,130,110,NA,NA,13565
"Silva, P.E.N. (1991)",mata,Taquara,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,0.96,0.09,2.08,2.45,0.61,90,128,NA,NA,1045
"Silva, P.E.N. (1991)",mata,Taquara,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,1.44,0.07,1.92,2.71,0.81,130,225,NA,NA,480
"Silva, P.E.N. (1991)",mata,Taquara,Nyctaginaceae,Guapira sp,1.97,0.06,0.93,1.15,0.97,127,212,NA,NA,1488
"Silva, P.E.N. (1991)",mata,Taquara,Nyctaginaceae,Guapira sp,NA,0.1,0.78,1.49,1.21,151,234,NA,NA,816
"Silva, P.E.N. (1991)",mata,Taquara,Phyllanthaceae,Hyeronima alchorneoides Allemão,1.05,0.14,2.18,0.59,0.82,83,45,NA,NA,509
"Silva, P.E.N. (1991)",mata,Taquara,Cunoniaceae,Lamanonia brasiliensis Zickel & Leitão,0.92,0.09,0.89,1.66,0.6,72,317,NA,NA,445
"Silva, P.E.N. (1991)",mata,Taquara,Cunoniaceae,Lamanonia brasiliensis Zickel & Leitão,1.05,0.06,0.7,2.39,0.68,90,327,NA,NA,887
"Silva, P.E.N. (1991)",mata,Taquara,Myrtaceae,Myrceugenia sp,0.98,0.09,0.88,1.39,0.38,89,165,NA,NA,710
"Silva, P.E.N. (1991)",mata,Taquara,Myrtaceae,Myrceugenia sp,1.18,0.07,0.71,1.7,0.49,118,152,NA,NA,541
"Silva, P.E.N. (1991)",mata,Taquara,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.11,0.12,0.82,0.74,0.3,97,39,NA,NA,473
"Silva, P.E.N. (1991)",mata,Taquara,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.24,0.08,1.34,0.58,0.38,66,35,NA,NA,389
"Silva, P.E.N. (1991)",mata,Taquara,Rosaceae,Prunus sp,NA,0.07,1.55,2.09,0.47,79,66,NA,NA,1765
