references,vegetation,local,family,specie,month,nitrogen,phosphorus,potassium,calcium,magnesium,iron,manganese,zinc,copper,aluminum
"Silva, P.E.N. (1991)",Mata,Taquara,Nyctaginaceae,Guapira sp,march,NA,0.10,0.78,1.49,1.21,151,234,NA,NA,816
"Silva, P.E.N. (1991)",Mata,Taquara,Phyllanthaceae,Hyeronima alchorneoides Allemão,march,1.05,0.14,2.18,0.59,0.82,83,45,NA,NA,509
"Silva, P.E.N. (1991)",Mata,Taquara,Cunoniaceae,Lamanonia brasiliensis Zickel & Leitão,september,0.92,0.09,0.89,1.66,0.60,72,317,NA,NA,445
"Silva, P.E.N. (1991)",Mata,Taquara,Cunoniaceae,Lamanonia brasiliensis Zickel & Leitão,march,1.05,0.06,0.70,2.39,0.68,90,327,NA,NA,887
"Silva, P.E.N. (1991)",Mata,Taquara,Myrtaceae,Myrceugenia sp,september,0.98,0.09,0.88,1.39,0.38,89,165,NA,NA,710
"Silva, P.E.N. (1991)",Mata,Taquara,Myrtaceae,Myrceugenia sp,march,1.18,0.07,0.71,1.70,0.49,118,152,NA,NA,541
"Silva, P.E.N. (1991)",Mata,Taquara,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.11,0.12,0.82,0.74,0.30,97,39,NA,NA,473
"Silva, P.E.N. (1991)",Mata,Taquara,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.24,0.08,1.34,0.58,0.38,66,35,NA,NA,389
"Silva, P.E.N. (1991)",Mata,Taquara,Rosaceae,Prunus sp,september,NA,0.07,1.55,2.09,0.47,79,66,NA,NA,1765
"Silva, P.E.N. (1991)",Mata,Taquara,Rosaceae,Prunus sp,march,NA,0.14,1.43,2.35,0.46,144,195,NA,NA,668
"Silva, P.E.N. (1991)",Mata,Taquara,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,september,1.31,0.13,1.35,2.13,0.88,163,77,NA,NA,22461
"Silva, P.E.N. (1991)",Mata,Taquara,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,march,1.57,0.08,2.01,1.78,0.54,114,84,NA,NA,20565
"Silva, P.E.N. (1991)",Mata,Taquara,Bignoniaceae,Tabebuia sp,september,1.31,0.26,2.27,1.05,0.80,95,108,NA,NA,577
"Silva, P.E.N. (1991)",Mata,Taquara,Bignoniaceae,Tabebuia sp,march,1.18,0.09,0.90,1.62,1.06,153,172,NA,NA,947
"Silva, P.E.N. (1991)",Mata,Taquara,Magnoliaceae,Magnolia ovata  (A.St.-Hil.) Spreng.,september,1.23,0.08,0.61,2.48,0.31,70,80,NA,NA,1257
"Silva, P.E.N. (1991)",Mata,Taquara,Magnoliaceae,Magnolia ovata  (A.St.-Hil.) Spreng.,march,1.23,0.05,0.84,2.67,0.32,88,75,NA,NA,469
"Silva, P.E.N. (1991)",Mata,Taquara,Anacardiaceae,Tapirira guianensis Aubl.,september,1.31,0.09,0.65,2.94,0.23,78,24,NA,NA,981
